Fleet,Class,Vessel,Draft,Displ,WSA ,Draft Coeff
Container,Container,A1,3,9980,4034,0.346075182
Container,Container,A1,4,15219,4239,
Container,Container,A1,5,20458,4444,
Container,Container,A1,6,25696,4649,
Container,Container,A1,7,30935,4855,
Container,Container,A1,8,36174,5060,
Container,Container,A1,9,41412,5265,
Container,Container,A1,10,46651,5470,
Container,Container,A1,11,51890,5675,
Container,Container,A1,12,57128,5880,
Container,Container,A1,13,62367,6085,
Container,Container,A1,14,67606,6290,
Container,Container,A1,15,72845,6496,
Container,Container,A2,3,9980,4034,
Container,Container,A2,4,15219,4239,
Container,Container,A2,5,20458,4444,
Container,Container,A2,6,25696,4649,
Container,Container,A2,7,30935,4855,
Container,Container,A2,8,36174,5060,
Container,Container,A2,9,41412,5265,
Container,Container,A2,10,46651,5470,
Container,Container,A2,11,51890,5675,
Container,Container,A2,12,57128,5880,
Container,Container,A2,13,62367,6085,
Container,Container,A2,14,67606,6290,
Container,Container,A2,15,72845,6496,
Tanker,Tanker,T1,5,13096,3529.701975,
Tanker,Tanker,T1,6,15957,3905.127433,
Tanker,Tanker,T1,7,18876,4259.168407,
Tanker,Tanker,T1,8,21857,4597.22939,
Tanker,Tanker,T1,9,24909,4923.570263,
Tanker,Tanker,T1,10,28036,5240.839166,
Tanker,Tanker,T1,11,31232,5550.097498,
Container,Container,A3,4,22496,6671.175994,
Container,Container,A3,5,29561,7585.260851,
Container,Container,A3,6,36990,8441.186447,
Container,Container,A3,7,44752,9253.912392,
Container,Container,A3,8,52804,10031.18489,
Container,Container,A3,9,61142,10781.16484,
Container,Container,A3,10,69768,11509.98309,
Container,Container,A3,11,78676,12221.46808,
Container,Container,A3,12,87881,12920.01351,
Container,Container,A3,13,97461,13613.51719,
Container,Container,A3,14,107384,14300.9899,
Container,Container,A3,15,117600,14980.37182,
Container,Container,A3,16,128055,15649.6007,
Container,Container,A3,17,138698,16307.01992,
